code,industry_title,size_dollars_mm,size_employees
313240,Knit Fabric Mills,,500
313310,Textile and Fabric Finishing Mills,,"1,000"
313320,Fabric Coating Mills,,"1,000"
314110,Carpet and Rug Mills,,"1,500"
314120,Curtain and Linen Mills,,750
314910,Textile Bag and Canvas Mills,,500
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",,"1,000"
314999,All Other Miscellaneous Textile Product Mills,,500
315110,Hosiery and Sock Mills,,750
315190,Other Apparel Knitting Mills,,750
315210,Cut and Sew Apparel Contractors,,750
315220,Men's and Boys' Cut and Sew Apparel Manufacturing,,750
315240,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",,750
315280,Other Cut and Sew Apparel Manufacturing,,750
315990,Apparel Accessories and Other Apparel Manufacturing,,500
316110,Leather and Hide Tanning and Finishing,,500
316210,Footwear Manufacturing,,"1,000"
316992,Women's Handbag and Purse Manufacturing,,750
316998,All Other Leather Good and Allied Product Manufacturing,,500
321113,Sawmills,,500
321114,Wood Preservation,,500
321211,Hardwood Veneer and Plywood Manufacturing,,500
321212,Softwood Veneer and Plywood Manufacturing,,"1,250"
321213,Engineered Wood Member (except Truss) Manufacturing,,750
321214,Truss Manufacturing,,500
321219,Reconstituted Wood Product Manufacturing,,750
321911,Wood Window and Door Manufacturing,,"1,000"
321912,"Cut Stock, Resawing Lumber, and Planing",,500
321918,Other Millwork (including Flooring),,500
321920,Wood Container and Pallet Manufacturing,,500
321991,Manufactured Home (Mobile Home) Manufacturing,,"1,250"
321992,Prefabricated Wood Building Manufacturing,,500
321999,All Other Miscellaneous Wood Product Manufacturing,,500
322110,Pulp Mills,,750
322121,Paper (except Newsprint) Mills,,"1,250"
322122,Newsprint Mills,,750
322130,Paperboard Mills,,"1,250"
322211,Corrugated and Solid Fiber Box Manufacturing,,"1,250"
322212,Folding Paperboard Box Manufacturing,,750
322219,Other Paperboard Container Manufacturing,,"1,000"
322220,Paper Bag and Coated and Treated Paper Manufacturing,,750
322230,Stationery Product Manufacturing,,750
322291,Sanitary Paper Product Manufacturing,,"1,500"
322299,All Other Converted Paper Product Manufacturing,,500
323111,Commercial Printing (except Screen and Books),,500
323113,Commercial Screen Printing,,500
323117,Books Printing,,"1,250"
323120,Support Activities for Printing,,500
324110,Petroleum Refineries4,,"15,004"
324121,Asphalt Paving Mixture and Block Manufacturing,,500
324122,Asphalt Shingle and Coating Materials Manufacturing,,750
324191,Petroleum Lubricating Oil and Grease Manufacturing,,750
324199,All Other Petroleum and Coal Products Manufacturing,,500
325110,Petrochemical Manufacturing,,"1,000"
325120,Industrial Gas Manufacturing,,"1,000"
325130,Synthetic Dye and Pigment Manufacturing,,"1,000"
325180,Other Basic Inorganic Chemical Manufacturing,,"1,000"
325193,Ethyl Alcohol Manufacturing,,"1,000"
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",,"1,250"
325199,All Other Basic Organic Chemical Manufacturing,,"1,250"
325211,Plastics Material and Resin Manufacturing,,"1,250"
325212,Synthetic Rubber Manufacturing,,"1,000"
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,,"1,000"
325311,Nitrogenous Fertilizer Manufacturing,,"1,000"
325312,Phosphatic Fertilizer Manufacturing,,750
325314,Fertilizer (Mixing Only) Manufacturing,,500
325320,Pesticide and Other Agricultural Chemical Manufacturing,,"1,000"
325411,Medicinal and Botanical Manufacturing,,"1,000"
325412,Pharmaceutical Preparation Manufacturing,,"1,250"
325413,In-Vitro Diagnostic Substance Manufacturing,,"1,250"
325414,Biological Product (except Diagnostic) Manufacturing,,"1,250"
325510,Paint and Coating Manufacturing,,"1,000"
325520,Adhesive Manufacturing,,500
325611,Soap and Other Detergent Manufacturing,,"1,000"
325612,Polish and Other Sanitation Good Manufacturing,,750
325613,Surface Active Agent Manufacturing,,750
325620,Toilet Preparation Manufacturing,,"1,250"
325910,Printing Ink Manufacturing,,500
325920,Explosives Manufacturing,,750
325991,Custom Compounding of Purchased Resins,,500
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",,"1,500"
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,,500
326111,Plastics Bag and Pouch Manufacturing,,750
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,,"1,000"
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,,750
326121,Unlaminated Plastics Profile Shape Manufacturing,,500
326122,Plastics Pipe and Pipe Fitting Manufacturing,,750
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",,500
326140,Polystyrene Foam Product Manufacturing,,"1,000"
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,,750
326160,Plastics Bottle Manufacturing,,"1,250"
326191,Plastics Plumbing Fixture Manufacturing,,750
326199,All Other Plastics Product Manufacturing,,750
326211,Tire Manufacturing (except Retreading)5,,"15,005"
326212,Tire Retreading,,500
326220,Rubber and Plastics Hoses and Belting Manufacturing,,750
326291,Rubber Product Manufacturing for Mechanical Use,,750
326299,All Other Rubber Product Manufacturing,,500
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",,"1,000"
327120,Clay Building Material and Refractories Manufacturing,,750
327211,Flat Glass Manufacturing,,"1,000"
327212,Other Pressed and Blown Glass and Glassware Manufacturing,,"1,250"
327213,Glass Container Manufacturing,,"1,250"
327215,Glass Product Manufacturing Made of Purchased Glass,,"1,000"
327310,Cement Manufacturing,,"1,000"
327320,Ready-Mix Concrete Manufacturing,,500
327331,Concrete Block and Brick Manufacturing,,500
327332,Concrete Pipe Manufacturing,,750
327390,Other Concrete Product Manufacturing,,500
327410,Lime Manufacturing,,750
327420,Gypsum Product Manufacturing,,"1,500"
327910,Abrasive Product Manufacturing,,750
327991,Cut Stone and Stone Product Manufacturing,,500
327992,Ground or Treated Mineral and Earth Manufacturing,,500
327993,Mineral Wool Manufacturing,,"1,500"
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,,500
331110,Iron and Steel Mills and Ferroalloy Manufacturing,,"1,500"
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,,"1,000"
331221,Rolled Steel Shape Manufacturing,,"1,000"
331222,Steel Wire Drawing,,"1,000"
331313,Alumina Refining and Primary Aluminum Production,,"1,000"
331314,Secondary Smelting and Alloying of Aluminum,,750
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",,"1,250"
331318,"Other Aluminum Rolling, Drawing, and Extruding",,750
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,,"1,000"
331420,"Copper Rolling, Drawing, Extruding, and Alloying",,"1,000"
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing and Extruding",,750
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",,750
331511,Iron Foundries,,"1,000"
331512,Steel Investment Foundries,,"1,000"
331513,Steel Foundries (except Investment),,500
331523,Nonferrous Metal Die-Casting Foundries,,500
331524,Aluminum Foundries (except Die-Casting),,500
331529,Other Nonferrous Metal Foundries (except Die-Casting),,500
332111,Iron and Steel Forging,,750
332112,Nonferrous Forging,,750
332114,Custom Roll Forming,,500
332117,Powder Metallurgy Part Manufacturing,,500
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",,500
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",,750
332216,Saw Blade and Handtool Manufacturing,,750
332311,Prefabricated Metal Building and Component Manufacturing,,750
332312,Fabricated Structural Metal Manufacturing,,500
332313,Plate Work Manufacturing,,750
332321,Metal Window and Door Manufacturing,,750
332322,Sheet Metal Work Manufacturing,,500
332323,Ornamental and Architectural Metal Work Manufacturing,,500
332410,Power Boiler and Heat Exchanger Manufacturing,,750
332420,Metal Tank (Heavy Gauge) Manufacturing,,750
332431,Metal Can Manufacturing,,"1,500"
332439,Other Metal Container Manufacturing,,500
332510,Hardware Manufacturing,,750
332613,Spring Manufacturing,,500
332618,Other Fabricated Wire Product Manufacturing,,500
332710,Machine Shops,,500
332721,Precision Turned Product Manufacturing,,500
332722,"Bolt, Nut, Screw, Rivet and Washer Manufacturing",,500
332811,Metal Heat Treating,,750
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",,500
332813,"Electroplating, Plating, Polishing, Anodizing and Coloring",,500
332911,Industrial Valve Manufacturing,,750
332912,Fluid Power Valve and Hose Fitting Manufacturing,,"1,000"
332913,Plumbing Fixture Fitting and Trim Manufacturing,,"1,000"
332919,Other Metal Valve and Pipe Fitting Manufacturing,,750
332991,Ball and Roller Bearing Manufacturing,,"1,250"
332992,Small Arms Ammunition Manufacturing,,"1,250"
332993,Ammunition (except Small Arms) Manufacturing,,"1,500"
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",,"1,000"
332996,Fabricated Pipe and Pipe Fitting Manufacturing,,500
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,,750
333111,Farm Machinery and Equipment Manufacturing,,"1,250"
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,,"1,500"
333120,Construction Machinery Manufacturing,,"1,250"
333131,Mining Machinery and Equipment Manufacturing,,500
333132,Oil and Gas Field Machinery and Equipment Manufacturing,,"1,250"
333241,Food Product Machinery Manufacturing,,500
333242,Semiconductor Machinery Manufacturing,,"1,500"
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",,500
333244,Printing Machinery and Equipment Manufacturing,,750
333249,Other Industrial Machinery Manufacturing,,500
333314,Optical Instrument and Lens Manufacturing,,500
333316,Photographic and Photocopying Equipment Manufacturing,,"1,000"
333318,Other Commercial and Service Industry Machinery Manufacturing,,"1,000"
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,,500
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,,500
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,,"1,250"
333511,Industrial Mold Manufacturing,,500
333514,"Special Die and Tool, Die Set, Jig and Fixture Manufacturing",,500
333515,Cutting Tool and Machine Tool Accessory Manufacturing,,500
333517,Machine Tool Manufacturing,,500
333519,Rolling Mill and Other Metalworking Machinery Manufacturing,,500
333611,Turbine and Turbine Generator Set Units Manufacturing,,"1,500"
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",,750
333613,Mechanical Power Transmission Equipment Manufacturing,,750
333618,Other Engine Equipment Manufacturing,,"1,500"
333912,Air and Gas Compressor Manufacturing,,"1,000"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",,750
333921,Elevator and Moving Stairway Manufacturing,,"1,000"
333922,Conveyor and Conveying Equipment Manufacturing,,500
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",,"1,250"
333924,"Industrial Truck, Tractor, Trailer and Stacker Machinery Manufacturing",,750
333991,Power-Driven Hand Tool Manufacturing,,500
333992,Welding and Soldering Equipment Manufacturing,,"1,250"
333993,Packaging Machinery Manufacturing,,500
333994,Industrial Process Furnace and Oven Manufacturing,,500
333995,Fluid Power Cylinder and Actuator Manufacturing,,750
333996,Fluid Power Pump and Motor Manufacturing,,"1,250"
333997,Scale and Balance Manufacturing,,500
333999,All Other Miscellaneous General Purpose Machinery Manufacturing,,500
334111,Electronic Computer Manufacturing,,"1,250"
334112,Computer Storage Device Manufacturing,,"1,250"
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,,"1,000"
334210,Telephone Apparatus Manufacturing,,"1,250"
334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,,"1,250"
334290,Other Communications Equipment Manufacturing,,750
334310,Audio and Video Equipment Manufacturing,,750
334412,Bare Printed Circuit Board Manufacturing,,750
334413,Semiconductor and Related Device Manufacturing,,"1,250"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",,500
334417,Electronic Connector Manufacturing,,"1,000"
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,,750
334419,Other Electronic Component Manufacturing,,750
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,,"1,250"
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",,"1,250"
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial and Appliance Use",,500
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",,750
334514,Totalizing Fluid Meter and Counting Device Manufacturing,,750
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,,750
334516,Analytical Laboratory Instrument Manufacturing,,"1,000"
334517,Irradiation Apparatus Manufacturing,,"1,000"
334519,Other Measuring and Controlling Device Manufacturing,,500
334613,Blank Magnetic and Optical Recording Media Manufacturing,,"1,000"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing",,"1,250"
335110,Electric Lamp Bulb and Part Manufacturing,,"1,250"
335121,Residential Electric Lighting Fixture Manufacturing,,750
335122,"Commercial, Industrial and Institutional Electric Lighting Fixture Manufacturing",,500
335129,Other Lighting Equipment Manufacturing,,500
335210,Small Electrical Appliance Manufacturing,,"1,500"
335220,Major Household Appliance Manufacturing,,"1,500"
335311,"Power, Distribution and Specialty Transformer Manufacturing",,750
335312,Motor and Generator Manufacturing,,"1,250"
335313,Switchgear and Switchboard Apparatus Manufacturing,,"1,250"
335314,Relay and Industrial Control Manufacturing,,750
335911,Storage Battery Manufacturing,,"1,250"
335912,Primary Battery Manufacturing,,"1,000"
335921,Fiber Optic Cable Manufacturing,,"1,000"
335929,Other Communication and Energy Wire Manufacturing,,"1,000"
335931,Current-Carrying Wiring Device Manufacturing,,500
335932,Noncurrent-Carrying Wiring Device Manufacturing,,"1,000"
335991,Carbon and Graphite Product Manufacturing,,750
335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing,,500
336111,Automobile Manufacturing,,"1,500"
336112,Light Truck and Utility Vehicle Manufacturing,,"1,500"
336120,Heavy Duty Truck Manufacturing,,"1,500"
336211,Motor Vehicle Body Manufacturing,,"1,000"
336212,Truck Trailer Manufacturing,,"1,000"
336213,Motor Home Manufacturing,,"1,250"
336214,Travel Trailer and Camper Manufacturing,,"1,000"
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,,"1,000"
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,,"1,000"
336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,,"1,000"
336340,Motor Vehicle Brake System Manufacturing,,"1,250"
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,,"1,500"
336360,Motor Vehicle Seating and Interior Trim Manufacturing,,"1,500"
336370,Motor Vehicle Metal Stamping,,"1,000"
336390,Other Motor Vehicle Parts Manufacturing,,"1,000"
336411,Aircraft Manufacturing,,"1,500"
336412,Aircraft Engine and Engine Parts Manufacturing,,"1,500"
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing7,,"12,507"
336414,Guided Missile and Space Vehicle Manufacturing,,"1,250"
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,,"1,250"
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,,"1,000"
336510,Railroad Rolling Stock Manufacturing,,"1,500"
336611,Ship Building and Repairing,,"1,250"
336612,Boat Building,,"1,000"
336991,"Motorcycle, Bicycle, and Parts Manufacturing",,"1,000"
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",,"1,500"
336999,,,
337110,Wood Kitchen Cabinet and Countertop Manufacturing,,750
337121,Upholstered Household Furniture Manufacturing,,"1,000"
337122,Nonupholstered Wood Household Furniture Manufacturing,,750
337124,Metal Household Furniture Manufacturing,,750
337125,Household Furniture (except Wood and Metal) Manufacturing,,750
337127,Institutional Furniture Manufacturing,,500
337211,Wood Office Furniture Manufacturing,,"1,000"
337212,Custom Architectural Woodwork and Millwork Manufacturing,,500
337214,Office Furniture (except Wood) Manufacturing,,"1,000"
337215,"Showcase, Partition, Shelving, and Locker Manufacturing",,500
337910,Mattress Manufacturing,,"1,000"
337920,Blind and Shade Manufacturing,,"1,000"
339112,Surgical and Medical Instrument Manufacturing,,"1,000"
339113,Surgical Appliance and Supplies Manufacturing,,750
339114,Dental Equipment and Supplies Manufacturing,,750
339115,Ophthalmic Goods Manufacturing,,"1,000"
339116,Dental Laboratories,,500
339910,Jewelry and Silverware Manufacturing,,500
339920,Sporting and Athletic Goods Manufacturing,,750
339930,"Doll, Toy, and Game Manufacturing",,500
339940,Office Supplies (except Paper) Manufacturing,,750
339950,Sign Manufacturing,,500
339991,"Gasket, Packing, and Sealing Device Manufacturing",,500
339992,Musical Instrument Manufacturing,,"1,000"
339993,"Fastener, Button, Needle, and Pin Manufacturing",,750
339994,"Broom, Brush and Mop Manufacturing",,500
339995,Burial Casket Manufacturing,,"1,000"
339999,All Other Miscellaneous Manufacturing,,500
423110,Automobile and Other Motor Vehicle Merchant Wholesalers,,250
423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,,200
423130,Tire and Tube Merchant Wholesalers,,200
423140,Motor Vehicle Parts (Used) Merchant Wholesalers,,100
423210,Furniture Merchant Wholesalers,,100
423220,Home Furnishing Merchant Wholesalers,,100
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",,150
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",,150
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",,200
423390,Other Construction Material Merchant Wholesalers,,100
423410,Photographic Equipment and Supplies Merchant Wholesalers,,200
423420,Office Equipment Merchant Wholesalers,,200
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,,250
423440,Other Commercial Equipment Merchant Wholesalers,,100
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",,200
423460,Ophthalmic Goods Merchant Wholesalers,,150
423490,Other Professional Equipment and Supplies Merchant Wholesalers,,150
423510,Metal Service Centers and Other Metal Merchant Wholesalers,,200
423520,Coal and Other Mineral and Ore Merchant Wholesalers,,100
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,200
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",,200
423690,Other Electronic Parts and Equipment Merchant Wholesalers,,250
423710,Hardware Merchant Wholesalers,,150
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,,200
423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,,150
423740,Refrigeration Equipment and Supplies Merchant Wholesalers,,100
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,,250
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,,100
423830,Industrial Machinery and Equipment Merchant Wholesalers,,100
423840,Industrial Supplies Merchant Wholesalers,,100
